Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,10nF,
"C10, C13, C14, C7, C8, C9",C_Disc_D3.0mm_W1.6mm_P2.50mm,6,100nF,
"C11, C12, C15",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,10µF,
C16,CP_Radial_D8.0mm_P2.50mm,1,220µF,
"C2, C4, C5",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,47PF,
C3,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,560PF,
D1,LED_D5.0mm,1,LED,
J1,PJ301M-12_T_S,1,AUDIO_OUTPUT,
J2,PJ301M-12_T_S,1,FBK_CV_IN,
J3,PJ301M-12_T_S,1,D.TIME_CV_IN,
J5,PJ301M-12_T_S,1,AUDIO_INPUT,
J6,Pins_2x08_2.54mm_TH_EuroPower_Shrouded,1,Eurorack_Power_16pin_Shrouded,
"R1, R15",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,200K,
"R10, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10K,
"R11, R12, R13, R16, R2, R5, R6, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,8,100K,
"R14, R20, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1K,
"R17, R18, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,66.5K,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,2K,
RV1,Pot_9mm_DShaft,1,DELAY_TIME_10K,
RV2,Pot_9mm_DShaft,1,FEEDBACK_10K,
SEED1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev4,
SWITCH,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm-SolderLugs,1,SW_SPDT,
U1,SOT-23,1,LM4040,
U2,DIP-14_W7.62mm,1,TL074,
U3,DIP-8_W7.62mm,1,MCP6002-xP,
