Designator,Mid X,Mid Y,Rotation,Layer
C1,179.07,-121.622,90.0,top
C10,176.51,-110.31,180.0,top
C11,180.995,-105.259,180.0,top
C12,172.72,-85.692,270.0,top
C13,174.879,-85.692,270.0,top
C14,189.865,-85.173,90.0,top
C15,177.038,-85.721,90.0,top
C16,177.917349,-70.715,0.0,bottom
C2,179.07,-136.735,270.0,top
C3,166.39,-110.31,180.0,top
C4,171.47,-110.31,180.0,top
C5,181.61,-110.31,180.0,top
C6,190.881,-121.252,90.0,top
C7,165.989,-67.794,270.0,top
C8,165.989,-77.8724,90.0,top
C9,185.821,-105.259,180.0,top
D1,170.816981,-102.69,0.0,top
J1,184.785,-133.7225,0.0,top
J2,184.785,-118.4825,0.0,top
J3,170.811981,-118.4825,0.0,top
J5,170.815,-133.7225,0.0,top
J6,178.09,-93.321,90.0,top
R1,165.989,-53.316,90.0,top
R10,189.865,-64.071,270.0,top
R11,189.865,-71.564,270.0,top
R12,176.53,-115.39,270.0,top
R13,188.595,-110.31,180.0,top
R14,179.07,-130.659,270.0,top
R15,165.989,-61.19,90.0,top
R16,179.07,-115.39,270.0,top
R17,176.53,-62.079,90.0,top
R18,190.881,-115.136,90.0,top
R19,165.989,-84.4056,90.0,top
R2,165.1,-115.165,270.0,top
R20,189.865,-79.097,270.0,top
R3,177.8,-40.235,180.0,top
R4,176.53,-122.912,90.0,top
R5,176.53,-130.659,90.0,top
R6,189.865,-56.549,90.0,top
R7,189.865,-49.027,270.0,top
R8,176.53,-138.025,270.0,top
R9,189.865,-41.378,90.0,top
RV1,177.802752,-48.397757,180.0,top
RV2,177.802589,-76.337757,180.0,top
SEED1,177.8,-62.06,0.0,bottom
SWITCH,184.785,-102.69,0.0,top
U1,165.989,-72.8255,90.0,top
U2,182.875,-103.745,90.0,bottom
U3,177.81,-60.77,0.0,bottom
